query,latitude,longitude
"AVENIDA JOSE FORTUNA, 150 - PORTAL DO SOL - São Carlos/SP - CEP 13569-450",-22.0180395,-47.891154
"RUA SETE DE SETEMBRO, 1582 - A - CENTRO - São Carlos/SP - CEP 13560-180",-22.0160099,-47.890223
"AVENIDA FILOMENA RISPOLI, 592 - PARQUE SANTA MARTA - São Carlos/SP - CEP 13564-200",-21.994538014752,-47.906815040813
"AVENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N - AGUA VERMELHA - São Carlos/SP - CEP 13578-000",-21.8788022,-47.8567619
"ALAMEDA OURO PRETO, 21 - PARQUE SABARA - São Carlos/SP - CEP 13567-705",-22.0119557,-47.8628137
"RUA JOAO ANTONIO BONI, 1179 - VILA SAO JOAO BATISTA - São Carlos/SP - CEP 13567-040",-22.000551988371,-47.875340994389
"RUA MAJOR JOSE INACIO, 1932 - CENTRO - São Carlos/SP - CEP 13560-161",-22.0180395,-47.891154
"ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100 - JARDIM NOVO HORIZONTE - São Carlos/SP - CEP 13571-513",-22.05890231396,-47.902898428916
"RUA BORLANGE, 99 - RESIDENCIAL SAMAMBAIA - São Carlos/SP - CEP 13565-517",-21.9555555,-47.8836799
"RUA PASSEIO DOS IPES, 350 - ANDAR 7                   SALA  709                 COND  TRIADE TORRE N YORK - PARQUE FABER I - São Carlos/SP - CEP 13561-385",-22.019411019059,-47.91626597192
"RUA CONDE DO PINHAL, 1150 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-648",-22.0177506,-47.8857447
"RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071 - EDIF: MFS; - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-330",-21.998861987143,-47.919813025705
"RUA JOSE MISSALI, 764 - PLANALTO PARAISO - São Carlos/SP - CEP 13562-060",-22.004576200664,-47.915404744746
"RUA SAO SEBASTIAO, 3326 - ANDAR: 1 - PRIMEIRO; - CHACARA PAROLLO - São Carlos/SP - CEP 13569-181",-22.013053010224,-47.877703014704
"RUA MONTEIRO LOBATO, 2087 - VILA NERY - São Carlos/SP - CEP 13569-290",-22.0134946,-47.8769628
"RUA MAESTRO JOAO SEPPE, 900 - SALA  171 - JARDIM PARAISO - São Carlos/SP - CEP 13561-180",-22.0180395,-47.891154
"RUA DOUTOR DONATO DOS SANTOS, 52 - JARDIM NOVA SANTA PAULA - São Carlos/SP - CEP 13564-332",-21.9970224,-47.8998583
"RUA AQUIDABAN, 4 - ANEXO AREA B - CENTRO - São Carlos/SP - CEP 13560-120",-22.0180395,-47.891154
"RUA JOSE JORGE ABI SAAB, 20 - SALA  001 - JARDIM MARACANA - São Carlos/SP - CEP 13571-290",-22.035757681739,-47.865342619701
"RUA JESUINO DE ARRUDA, 2414 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-642",-22.0195223,-47.8774342
"OUTROS PASSEIO DOS FLAMBOYANTS, 200 - LOJA 14 - PARQUE FABER - São Carlos/SP - CEP 13561-352",-22.0180395,-47.891154
"RUA TOTO LEITE, 2000 - VL.NERY - São Carlos/SP - CEP 13570-010",-22.011465016758,-47.879721041713
"RODOVIA LUIZ AUGUSTO DE OLIVEIRA, S/N - KM    148,8, 1 ANDAR,     CONJ  112 115 116 122 124       125 131 132 133 135       142 144 E 145       ANDAR 2, CJTOS 215 216 235      E 236 - PARQUE TECNOLOGICO - São Carlos/SP - CEP 13573-600",-22.054859512511,-47.947807660302
"RUA MARECHAL DEODORO, 2819 - CENTRO - São Carlos/SP - CEP 13560-201",-22.0149219,-47.879416
"AVENIDA FRANCISCO PEREIRA LOPES, 1701 - LOJA  LUC Q008            SALA  PARTE PISO T2 - PARQUE SANTA MONICA - São Carlos/SP - CEP 13561-250",-22.0180395,-47.891154
"AVENIDA SALLUM, 1154 - SALA  PARTE - D - VILA PRADO - São Carlos/SP - CEP 13574-040",-22.0180395,-47.891154
"RUA NOVE DE JULHO, 959 - SALA  PARTE - CENTRO - São Carlos/SP - CEP 13560-042",-22.0180395,-47.891154
"AVENIDA SAO CARLOS, 2205 - SL 203-2 ANDAR - CENTRO - São Carlos/SP - CEP 13560-011",-22.0180395,-47.891154
"AVENIDA SAO CARLOS, 759 - CASA - VL.MARCELINO - São Carlos/SP - CEP 13573-284",-22.02678998561,-47.890424983525
"RUA CID SILVA CESAR, 357-A - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13562-400",-22.0026365,-47.9153676
"AVENIDA SALLUM, 866 - SALA  04 - VILA PRADO - São Carlos/SP - CEP 13574-040",-22.0180395,-47.891154
"RUA PERNAMBUCO, 315 - JD PACAEMBU - São Carlos/SP - CEP 13572-380",-22.038912983629,-47.894472017835
"RUA FRANCISCO MARIGO, 887 - JD CRUZEIRO DO SUL - São Carlos/SP - CEP 13572-090",-22.042469006052,-47.889366013878
"AVENIDA SAO CARLOS, 2856 - PARTE - CENTRO - São Carlos/SP - CEP 13560-011",-22.0180395,-47.891154
"RUA JOSE TEIXEIRA, 42 - PARQUE SISI - São Carlos/SP - CEP 13562-440",-22.005976,-47.9208716
"AVENIDA TEIXEIRA DE BARROS, 367 - VILA PRADO - São Carlos/SP - CEP 13574-033",-22.0180395,-47.891154
"RUA PADRE TEIXEIRA, 2796 - CENTRO - São Carlos/SP - CEP 13560-210",-22.0140905,-47.8838192
"RUA EPISCOPAL, 1090 - CENTRO - São Carlos/SP - CEP 13560-049",-22.0145048,-47.8917374
"RUA SAO JOAQUIM, 2023 - SALA  04 - VILA MONTEIRO (GLEBA I) - São Carlos/SP - CEP 13560-300",-22.0180395,-47.891154
"RUA ROSA LEA FERRARI LISBOA, 255 - JARDIM ACAPULCO - São Carlos/SP - CEP 13563-706",-21.9956149,-47.9117915
"RUA OSCAR DE SOUZA GERIBELO, 790 - JARDIM SANTA PAULA - São Carlos/SP - CEP 13564-031",-22.000707,-47.9014175
"PASSEIO DAS CASTANHEIRAS, 431 - COND  TRIADE 03           EDIF  NOVA YORK           CONJ  207 - PARQUE FABER - São Carlos/SP - CEP 13561-384",-22.019983552392,-47.91629210488
"RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 900 - SALA  01 - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-330",-22.002555011773,-47.914040995722
"AVENIDA SALLUM, 1154 - LOJA  D - VILA PRADO - São Carlos/SP - CEP 13574-040",-22.0180395,-47.891154
"AVENIDA PROFESSORA MARIA DE CRESCI LEOPOLDINO, 755 - CASA  294 - CONDOMINIO RESIDENCIAL QUEBEC - São Carlos/SP - CEP 13563-623",-21.983333602601,-47.931040754836
"RUA JOSE DUARTE DE SOUZA, 383 - SALA  01 - JARDIM SANTA PAULA - São Carlos/SP - CEP 13564-030",-21.999289003201,-47.901297988324
"RUA QUINZE DE NOVEMBRO, 2073 - CENTRO - São Carlos/SP - CEP 13560-240",-22.0123422,-47.8938382
"RUA SAO JOAQUIM, 832 - CENTRO - São Carlos/SP - CEP 13560-300",-22.020436,-47.8885965
"RODOVIA WASHINGTON LUIZ KM 226 + 738 M, 50 - JARDIM GUANABARA - São Carlos/SP - CEP 13565-905",-22.0180395,-47.891154
"RUA FRANCISCO FERREIRA, 1613 - VILA FARIA - São Carlos/SP - CEP 13569-004",-22.0162159,-47.8750007
"RUA JESUINO DE ARRUDA, 2020 - BOX 08 - JARDIM SO CARLOS - São Carlos/SP - CEP 13560-642",-22.019585991287,-47.890960000405
"RUA DONA ANA PRADO, 590 - VILA PRADO - São Carlos/SP - CEP 13574-031",-22.031845,-47.893272
"RUA FRANCISCO XAVIER AMARAL FILHO, 57 - RESIDENCIAL MONSENHOR ROMEU TORTORELLI - São Carlos/SP - CEP 13562-503",-22.008231,-47.9208461
"RUA LUIZ GUALTIERI, 315 - LOTE  01 AO 09 - PARQUE RESIDENCIAL MARIA STELLA FAGA - São Carlos/SP - CEP 13568-260",-22.0180395,-47.891154
"RUA CONDE ROLAND VON FABER CASTELL, 226 - PARQUE DELTA - São Carlos/SP - CEP 13564-670",-21.9907492,-47.8951631
"RUA PADRE TEIXEIRA, 1350 - JARDIM BETHANIA - São Carlos/SP - CEP 13561-050",-22.014222,-47.8967078
"RUA RUI BARBOSA, 630 - CENTRO - São Carlos/SP - CEP 13560-330",-22.0149789,-47.8867445
"RUA PROFESSORA MARIA ANGELICA MARCONDES, 56 - JARDIM CARDINALLI - São Carlos/SP - CEP 13569-550",-22.021808078002,-47.875031371694
"RUA JOSE BONIFACIO, 565 - NUCLEO RESIDENCIAL SILVIO VILARI - São Carlos/SP - CEP 13560-610",-22.0264646,-47.8934322
"RUA RAFAEL ABREU SAMPAIO VIDAL, 2358 - FUNDOS - VILA ELIZABETH - São Carlos/SP - CEP 13560-050",-22.008020012643,-47.882958970909
"RUA SANTA CRUZ, 94 - SALA  01 - CENTRO - São Carlos/SP - CEP 13560-680",-22.02343802062,-47.893779002081
"AVENIDA SAO CARLOS, 3100 - CENTRO - São Carlos/SP - CEP 13560-002",-22.0180395,-47.891154
"RUA TRABALHO COM FRATERNIDADE, 10 - JARDIM BOTAFOGO - São Carlos/SP - CEP 13575-380",-22.0221797,-47.9112421
"RUA LUCIO RODRIGUES, 21 - VILA PRADO - São Carlos/SP - CEP 13572-201",-22.035033751779,-47.89020597988
"RODOVIA SP 215 - KM 145, KM 145 - CXPST 463 - RURAL - São Carlos/SP - CEP 13560-970",-22.0180395,-47.891154
"AVENIDA CAPITAO LUIZ BRANDAO, 46 - VILA NERY - São Carlos/SP - CEP 13568-450",-22.012427007785,-47.872802032099
"RUA MAJOR JULIO SALLES, 594 - SALA  03 - CENTRO - São Carlos/SP - CEP 13561-010",-22.0180395,-47.891154
"RUA SORBONE, 16 - FUNDOS - CENTREVILLE - São Carlos/SP - CEP 13560-760",-22.0180395,-47.891154
"RUA SILVERIO IGNARRA SOBRINHO, 250 - VILA MONTEIRO - São Carlos/SP - CEP 13560-294",-22.0260594,-47.8884512
"AVENIDA SAO CARLOS, 778 - VILA LUTFALLA - São Carlos/SP - CEP 13570-660",-22.0180395,-47.891154
"RUA MARCOLINO LOPES BARRETO, 3013 - VILA COSTA DO SOL - São Carlos/SP - CEP 13566-210",-22.0055221,-47.8820544
"RUA FLAUZINO MARQUES, 215 - JARDIM ALVORADA - São Carlos/SP - CEP 13562-002",-22.0078432,-47.9079933
"RODOVIA ENGENHEIRO THALES DE LORENA PEIXOTO JUNIOR (SP 318), S/N - KM    246 - DISTRITO DE AGUA VERMELHA - São Carlos/SP - CEP 13578-000",-21.8788022,-47.8567619
"AVENIDA MORUMBI, 1251 - SALA  02,ALTOS - JARDIM MORUMBI - São Carlos/SP - CEP 13572-000",-22.04310292283,-47.885779406845
"RUA MARECHAL DEODORO, 1547 - SALA  02 - CENTRO - São Carlos/SP - CEP 13560-200",-22.0180395,-47.891154
"RUA JESUINO DE ARRUDA, 1517 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-642",-22.0195217,-47.8774398
"RUA CELIO BARBOSA DA SILVA, 150 - JD STA PAULA - São Carlos/SP - CEP 13564-060",-22.00044298172,-47.904041971967
"AVENIDA PROFESSORA MARIA DE CRESCI LEOPOLDINO, 755 - CASA  144 - CONDOMINIO RESIDENCIAL QUEBEC - São Carlos/SP - CEP 13563-623",-21.982446142526,-47.930183105296
"RUA MARECHAL DEODORO, 2616 - SALA  01 - CENTRO - São Carlos/SP - CEP 13560-201",-22.0180395,-47.891154
"RUA MIGUEL PETRONI, 1145 - VILA PUREZA - São Carlos/SP - CEP 13561-002",-22.002931987868,-47.902401968791
"AVENIDA SAO CARLOS, 967 - SALA 01 - CENTRO - São Carlos/SP - CEP 13560-010",-22.0180395,-47.891154
"RUA MARIA EUGENIA FABIANO, 432 - ANTENOR GARCIA - São Carlos/SP - CEP 13560-970",-22.0527956,-47.9168426
"AVENIDA SAO CARLOS, 2205 - SALA  707                 EDIF  RACZ CENTER - CENTRO - São Carlos/SP - CEP 13560-900",-22.013845980174,-47.890781968781
"AVENIDA PAPA PAULO VI, 1156 - VILA MONTE CARLO - São Carlos/SP - CEP 13572-140",-22.048626016848,-47.895127985578
"AVENIDA SALLUM, 979 - VILA PRADO - São Carlos/SP - CEP 13574-040",-22.0180395,-47.891154
"RUA JOSE BONIFACIO, 565 - EDIF  ONOVOLAB - NUCLEO RESIDENCIAL SILVIO VILARI - São Carlos/SP - CEP 13560-610",-22.0180395,-47.891154
"RUA MIGUEL PETRONI, 1659 - JARDIM BANDEIRANTES - São Carlos/SP - CEP 13562-190",-22.0180395,-47.891154
"RUA ROSARIA CERRI CARUSO, 91 - N.RES.CASTELO BRANCO - São Carlos/SP - CEP 13571-110",-22.029788988656,-47.869840035154
"RUA EPISCOPAL, 2065 - LOJA A - CENTRO - São Carlos/SP - CEP 13560-049",-22.0180395,-47.891154
"AVENIDA SAO CARLOS, 2434 - SALA 1 - CENTRO - São Carlos/SP - CEP 13560-002",-22.0180395,-47.891154
"ALAMEDA DAS PITANGUEIRAS, 227 - PARQUE FABER CASTELL I - São Carlos/SP - CEP 13561-359",-22.015256627744,-47.921131781647
"RUA PAULO FRAGOSO COIMBRA, 258 - JARDIM ALVORADA - São Carlos/SP - CEP 13562-340",-22.009236981165,-47.906646983655
"RUA SAO JOAQUIM, 2793 - VILA COSTA DO SOL - São Carlos/SP - CEP 13566-280",-22.00324,-47.8890698
"AVENIDA GETULIO VARGAS, 743 - LOJA  4 - VILA LUTFALLA - São Carlos/SP - CEP 13570-672",-22.032829985038,-47.884306026569
"RUA FRANCISCO SCHIAVONE, 1409 - VILA BOA VISTA - São Carlos/SP - CEP 13575-070",-22.0359362,-47.9060619
"AVENIDA MIGUEL DAMHA, 1400 - CASA  105 - PARQUE TECNOLOGICO DAMHA I SAO CARLOS - São Carlos/SP - CEP 13565-251",-22.0180395,-47.891154
"RUA RUA CANDIDO PADIM, 454 - VILA PRADO - São Carlos/SP - CEP 13574-320",-22.0242702,-47.8995775
"RUA JOSE CALIJURI, 296 - FUNDOS - JARDIM HIKARI - São Carlos/SP - CEP 13564-430",-21.993561984037,-47.900187972887
"RUA PASSEIO DOS FLAMBOYANTS, 60 - SALA  406                 COND  TRIADE                    PREDIO SAO PAULO - PARQUE FABER CASTELL I - São Carlos/SP - CEP 13561-352",-22.0180395,-47.891154
"RUA MANOEL JOSE SERPA, 127 - FUNDOS - PLANALTO PARAISO - São Carlos/SP - CEP 13562-070",-22.006820017475,-47.909533962565
"RUA PADRE TEIXEIRA, 1754 - SALA  01 - CENTRO - São Carlos/SP - CEP 13560-210",-22.0180395,-47.891154
"RUA MARECHAL DEODORO, 2115 - EDIF EMILIO MANZANO;LOJA 15 - CENTRO - São Carlos/SP - CEP 13560-200",-22.0180395,-47.891154
"RUA DONA ALEXANDRINA, 1969 - CASA  B - VILA MONTEIRO (GLEBA1) - São Carlos/SP - CEP 13560-290",-22.0180395,-47.891154
"RUA ALEXANDRE PEDRAZZANI, 375 - SALA  2 - JARDIM NOVO HORIZONTE - São Carlos/SP - CEP 13571-512",-22.037008977963,-47.856483536826
"AVENIDA JOAO DE LOURENCO, 115 - PARQUE RESIDENCIAL MARIA STELLA FAGA - São Carlos/SP - CEP 13568-250",-22.006645003337,-47.856796033614
"PASSEIO DOS FLAMBOYANTS, 320 - COND  TRIADE              EDIF  LONDRES             CONJ  103 - PARQUE FABER CASTELL I - São Carlos/SP - CEP 13561-352",-22.0180395,-47.891154
"RUA CONDE DO PINHAL, 1762 - CXPST 125 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-648",-22.0180395,-47.891154
"AVENIDA TEIXEIRA DE BARROS, 887 - ANDAR: 1; - VILA PRADO - São Carlos/SP - CEP 13574-033",-22.0180395,-47.891154
"AVENIDA COMENDADOR ALFREDO MAFFEI, 2542 - BOX   023 - JARDIM GIBERTONI - São Carlos/SP - CEP 13561-270",-22.0180395,-47.891154
"RUA MIGUEL PETRONI, 4900 - CASA  19                  SALA  1 - RESIDENCIAL ELDORADO - São Carlos/SP - CEP 13563-691",-21.981790984041,-47.926784003119
"RUA TREZE DE MAIO, 2876 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-647",-22.018874,-47.8967251
"RUA RUA ODETTE DE CAMPOS DAMHA, 77 - CHACARA SAO JOAO - São Carlos/SP - CEP 13569-220",-22.0180395,-47.891154
"RUA ALFEO AMBROGIO, 735 - FUNDOSSALA A - JARDIM MERCEDES - São Carlos/SP - CEP 13570-540",-22.029600982568,-47.882472988163
"PASSEIO DAS MAGNOLIAS, 121 - APT   81                  EDIF  WASSILY KANDINSKY - PARQUE FABER CASTELL I - São Carlos/SP - CEP 13561-381",-22.014862788848,-47.916078887841
"RUA FRANCISCO DE OLIVEIRA PENTEADO, 120 - BOA VISTA - São Carlos/SP - CEP 13574-011",-22.0281832,-47.9041754
"RUA ANTONIO RODRIGUES CAJADO, 1384 - SALA  B 2 A - VILA MONTEIRO (GLEBA I) - São Carlos/SP - CEP 13560-291",-22.016414991588,-47.883787019124
"AVENIDA SAO CARLOS, 1553 - CENTRO - São Carlos/SP - CEP 13560-010",-22.0180395,-47.891154
"RUA ANDRE RINALDI PETRONI, 55 - SALA  2 - JARDIM PAULISTA - São Carlos/SP - CEP 13574-490",-22.022507000725,-47.907090973066
