query,norm_base,expects_house,has_km,candidates,reason
"AVENIDA JOSE FORTUNA, 150 - PORTAL DO SOL - São Carlos/SP - CEP 13569-450","{'street': 'AV ENIDA JOSE FORTUNA, 150, PORTAL DO SOL, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13569-450'}",False,False,"[{""street"": ""AV ENIDA JOSE FORTUNA, 150, PORTAL DO SOL, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13569-450""}, {""street"": ""AV ENIDA JOSE FORTUNA, 150, PORTAL DO SOL, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13569-450"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""AV ENIDA JOSE FORTUNA, 150, PORTAL DO SOL, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA SETE DE SETEMBRO, 1582 - A - CENTRO - São Carlos/SP - CEP 13560-180","{'street': 'RUA SETE DE SETEMBRO, 1582, A, CENTRO, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13560-180'}",False,False,"[{""street"": ""RUA SETE DE SETEMBRO, 1582, A, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13560-180""}, {""street"": ""RUA SETE DE SETEMBRO, 1582, A, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13560-180"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA SETE DE SETEMBRO, 1582, A, CENTRO, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"AVENIDA FILOMENA RISPOLI, 592 - PARQUE SANTA MARTA - São Carlos/SP - CEP 13564-200","{'street': 'AV ENIDA FILOMENA RISPOLI, 592, PARQUE SANTA MARTA, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13564-200'}",False,False,"[{""street"": ""AV ENIDA FILOMENA RISPOLI, 592, PARQUE SANTA MARTA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13564-200""}, {""street"": ""AV ENIDA FILOMENA RISPOLI, 592, PARQUE SANTA MARTA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13564-200"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""AV ENIDA FILOMENA RISPOLI, 592, PARQUE SANTA MARTA, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"AVENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N - AGUA VERMELHA - São Carlos/SP - CEP 13578-000","{'street': 'AV ENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N, AGUA VERMELHA, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13578-000'}",False,False,"[{""street"": ""AV ENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N, AGUA VERMELHA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13578-000""}, {""street"": ""AV ENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N, AGUA VERMELHA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13578-000"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""AV ENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N, AGUA VERMELHA, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"ALAMEDA OURO PRETO, 21 - PARQUE SABARA - São Carlos/SP - CEP 13567-705","{'street': 'ALAMEDA OURO PRETO, 21, PARQUE SABARA, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13567-705'}",False,False,"[{""street"": ""ALAMEDA OURO PRETO, 21, PARQUE SABARA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13567-705""}, {""street"": ""ALAMEDA OURO PRETO, 21, PARQUE SABARA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13567-705"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""ALAMEDA OURO PRETO, 21, PARQUE SABARA, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA JOAO ANTONIO BONI, 1179 - VILA SAO JOAO BATISTA - São Carlos/SP - CEP 13567-040","{'street': 'RUA JOAO ANTONIO BONI, 1179, VILA SAO JOAO BATISTA, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13567-040'}",False,False,"[{""street"": ""RUA JOAO ANTONIO BONI, 1179, VILA SAO JOAO BATISTA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13567-040""}, {""street"": ""RUA JOAO ANTONIO BONI, 1179, VILA SAO JOAO BATISTA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13567-040"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA JOAO ANTONIO BONI, 1179, VILA SAO JOAO BATISTA, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA MAJOR JOSE INACIO, 1932 - CENTRO - São Carlos/SP - CEP 13560-161","{'street': 'RUA MAJOR JOSE INACIO, 1932, CENTRO, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13560-161'}",False,False,"[{""street"": ""RUA MAJOR JOSE INACIO, 1932, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13560-161""}, {""street"": ""RUA MAJOR JOSE INACIO, 1932, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13560-161"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA MAJOR JOSE INACIO, 1932, CENTRO, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100 - JARDIM NOVO HORIZONTE - São Carlos/SP - CEP 13571-513","{'street': 'ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100, JARDIM NOVO HORIZONTE, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13571-513'}",False,False,"[{""street"": ""ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100, JARDIM NOVO HORIZONTE, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13571-513""}, {""street"": ""ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100, JARDIM NOVO HORIZONTE, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13571-513"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100, JARDIM NOVO HORIZONTE, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA BORLANGE, 99 - RESIDENCIAL SAMAMBAIA - São Carlos/SP - CEP 13565-517","{'street': 'RUA BORLANGE, 99, RESIDENCIAL SAMAMBAIA, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13565-517'}",False,False,"[{""street"": ""RUA BORLANGE, 99, RESIDENCIAL SAMAMBAIA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13565-517""}, {""street"": ""RUA BORLANGE, 99, RESIDENCIAL SAMAMBAIA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13565-517"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA BORLANGE, 99, RESIDENCIAL SAMAMBAIA, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA PASSEIO DOS IPES, 350 - ANDAR 7                   SALA  709                 COND  TRIADE TORRE N YORK - PARQUE FABER I - São Carlos/SP - CEP 13561-385","{'street': 'RUA PASSEIO DOS IPES, 350', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13561-385'}",True,False,"[{""street"": ""RUA PASSEIO DOS IPES, 350"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13561-385""}, {""street"": ""RUA PASSEIO DOS IPES, 350"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13561-385"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA PASSEIO DOS IPES, 350, São Carlos, SP, Brasil""]",no_valid_hit
