query,provider,latitude,longitude,display
"AVENIDA JOSE FORTUNA, 150 - PORTAL DO SOL - São Carlos/SP - CEP 13569-450",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA SETE DE SETEMBRO, 1582 - A - CENTRO - São Carlos/SP - CEP 13560-180",nominatim,-22.0160099,-47.890223,"Rua Sete de Setembro, Jardim São Carlos, Centro, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-290, Brasil"
"AVENIDA FILOMENA RISPOLI, 592 - PARQUE SANTA MARTA - São Carlos/SP - CEP 13564-200",arcgis,-21.994538014752,-47.906815040813,"Avenida Filomeno Rispoli 592, São Carlos, São Paulo, 13564-200"
"AVENIDA DR ERNESTO PEREIRA LOPES FILHO, S/N - AGUA VERMELHA - São Carlos/SP - CEP 13578-000",nominatim,-21.8788022,-47.8567619,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"ALAMEDA OURO PRETO, 21 - PARQUE SABARA - São Carlos/SP - CEP 13567-705",nominatim,-22.0119557,-47.8628137,"Alameda Ouro Preto, Parque Sabará, Vila Nery, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13568-120, Brasil"
"RUA JOAO ANTONIO BONI, 1179 - VILA SAO JOAO BATISTA - São Carlos/SP - CEP 13567-040",arcgis,-22.000551988371,-47.875340994389,"Rua Joao Antonio Boni 1179, São Carlos, São Paulo, 13567-080"
"RUA MAJOR JOSE INACIO, 1932 - CENTRO - São Carlos/SP - CEP 13560-161",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"ESTRADA MUNICIPAL RUBENS FERNANDO MONTE RIBEIRO, 100 - JARDIM NOVO HORIZONTE - São Carlos/SP - CEP 13571-513",arcgis,-22.05890231396,-47.902898428916,"13571-513, São Carlos, São Paulo"
"RUA BORLANGE, 99 - RESIDENCIAL SAMAMBAIA - São Carlos/SP - CEP 13565-517",nominatim,-21.9555555,-47.8836799,"Rua Borlange, Samambaia Residencial, Água Vermelha, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13565-251, Brasil"
"RUA PASSEIO DOS IPES, 350 - ANDAR 7                   SALA  709                 COND  TRIADE TORRE N YORK - PARQUE FABER I - São Carlos/SP - CEP 13561-385",arcgis,-22.019411019059,-47.91626597192,"Passeio Dos Ipes 350, Bela Vista São-Carlense, São Carlos, São Paulo, 13561-385"
"RUA CONDE DO PINHAL, 1150 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-648",nominatim,-22.0177506,-47.8857447,"Rua Conde do Pinhal, Centro, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-648, Brasil"
"RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071 - EDIF: MFS; - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-330",arcgis,-21.998861987143,-47.919813025705,"Rua Joaquim Augusto Ribeiro De Souza 1071, São Carlos, São Paulo, 13563-330"
"RUA JOSE MISSALI, 764 - PLANALTO PARAISO - São Carlos/SP - CEP 13562-060",arcgis,-22.004576200664,-47.915404744746,"Rua José Missali 764, Parque Santa Felícia Jardim, São Carlos, São Paulo, 13562"
"RUA SAO SEBASTIAO, 3326 - ANDAR: 1 - PRIMEIRO; - CHACARA PAROLLO - São Carlos/SP - CEP 13569-181",arcgis,-22.013053010224,-47.877703014704,"Rua Sao Sebastiao 3326, São Carlos, São Paulo, 13569-181"
"RUA MONTEIRO LOBATO, 2087 - VILA NERY - São Carlos/SP - CEP 13569-290",nominatim,-22.0134946,-47.8769628,"Rua Monteiro Lobato, Chácara São João, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13569-220, Brasil"
"RUA MAESTRO JOAO SEPPE, 900 - SALA  171 - JARDIM PARAISO - São Carlos/SP - CEP 13561-180",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA DOUTOR DONATO DOS SANTOS, 52 - JARDIM NOVA SANTA PAULA - São Carlos/SP - CEP 13564-332",nominatim,-21.9970224,-47.8998583,"Rua Doutor Donato dos Santos, Jardim Nova Santa Paula, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13654-350, Brasil"
"RUA AQUIDABAN, 4 - ANEXO AREA B - CENTRO - São Carlos/SP - CEP 13560-120",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA JOSE JORGE ABI SAAB, 20 - SALA  001 - JARDIM MARACANA - São Carlos/SP - CEP 13571-290",arcgis,-22.035757681739,-47.865342619701,"Rua José Jorge Abi Saab 20, Jardim Maracanã, São Carlos, São Paulo, 13570-905"
